marca_temporal,biofertilizante,cultivo,manzanas,compuestos,produccion,desarrollo_descripcion,frecuencia_plaguicidas,cambio_plaguicidas_descripcion,cambio_plagas,frecuencia_biofertilizante,he_notado_cambios_negativos_en_mi_cultivo_despues_de_aplicar_biofertilizantes,he_notado_que_mi_cultivo_se_ve_mas_saludable_desde_que_uso_biofertilizantes,he_notado_que_mi_cultivo_resiste_mas_las_malas_condiciones_ambientales,mi_cultivo_se_ve_mas_vigoroso_en_comparacion_con_agricultores_de_la_zona_que_no_utilizan_biofertilizantes,mi_cultivo_es_mas_vigoroso_desde_que_utilizo_biofertilizantes,en_general_estoy_muy_satisfecho_con_los_resultados_obtenidos_al_utilizar_biofertilizantes,estoy_de_satisfecho_con_la_relacion_precio_calidad_del_biofertilizante,definitivamente_recomendaria_el_uso_de_biofertilizantes_a_amigos_o_colegas,considero_que_el_uso_de_biofertilizantes_ha_mejorado_la_calidad_de_mi_cosecha_con_el_tiempo,he_notado_un_cambio_significativo_en_las_ganancias_desde_que_comence_a_utilizar_biofertilizantes,tengo_una_buena_produccion_en_terminos_de_rendimiento_por_manzana_cultivada,el_biofertilizante_cumple_con_mis_necesidades,planeo_seguir_utilizando_biofertilizantes_en_mis_cultivos_en_el_futuro,si_tiene_algun_comentario_o_recomendacion_puede_escribirlo_a_continuacion,produccion_qq_mz,manzanas_clean,cultivo_clean,biofertilizante_clean,cambio_plagas_simple,frecuencia_plaguicidas_num
2023-05-17T10:41:42Z,nitroesten nitrogenadoo granulado quintal,Maíz,0.5 mz,nitrogeno,60 en media manzana,"mejor color, vigorosa","3 abonadas y quintal por aonada, 16-20-0 al momento de siembra. a los 15 dias primera,  segunda 25, tercera 35 dias",etsal liquido 12cc por bombada 17 litros,"normalmente, canicula hay mas gusano, lloviendo es menos.",3 abonadas,Muy en desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"50 dolares nitroesten... plano...
biofertilizantes no pega, son mas caros...
",60,0.5,Maíz,Nitroesten,Disminuyó,3
2023-05-17T15:06:11Z,Biopro,Maíz,2.0,no,80 qq por manzana,"Si, es mas vigoroza",2 bombadas por manzana,"Si, es menor la insidencia despues de usarla",Disminución,4 bombadas por manzana,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Mi cultivo es para consumo familiar,80,2,Maíz,Biopro,Disminuyó,2
2023-05-17T15:11:23Z,BIOPRO,Maíz,5.0,NO,78 qq por manzana,"Si,",depende de la incidencia de plagas,"Si, ha disminuido",disminución,"1 litro por bomba,, entre 4 y 5 bombadas",Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,NA,78,5,Maíz,Biopro,Disminuyó,NA
2023-05-17T15:15:57Z,biopro,Maíz,1/2 manzana,no,37 qq,"si, se ve mas saludable",depende de como vaya la plaga,si se observan mucho menos,disminucion,"1 litro por bomba, 3 -4  veces",Muy en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,NA,37,0.5,Maíz,Biopro,Disminuyó,NA
2023-05-17T15:26:46Z,BIOPRO,Maíz,8.0,NO,80.0,"SI, SE VE MAS VERDE","DEPENDE DE CUANTA PLAGA TENGA, ENTRE 2 BOMBADAS","SI, LA PLANTA RESISTE MAS LA PLAGA",DISMINUCION,5-7 BOMBADAS POR MANZANA,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,NA,80,8,Maíz,Biopro,Disminuyó,2
2023-05-17T15:41:55Z,biopro,Maíz,1.0,NA,83 qq,si la planta crece mejor,2 bombadas,"si, uso menos",disminución,"1 litro por bomba, entre 3 a 4 veces",Muy en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,el cultivo es para consumo personal,83,1,Maíz,Biopro,Disminuyó,2
2023-05-17T15:46:33Z,biopro,Maíz,6.0,NA,74 qq,"la planta se desarolla mejor, y crece mas sana","depende, pero normalmente entre 3 a 5 bombadas",la planta es mas resistente a las plagas,"si,es menos",uso hasta 6 bombadas,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,NA,74,6,Maíz,Biopro,Disminuyó,3
2023-05-17T15:51:54Z,biopro,Maíz,1/4,NA,22 qq,"si, crece mejor",1 bombada,si uso mucho menos,disminucion,unas 3 bombadas,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,NA,22,1,Maíz,Biopro,Disminuyó,1
2023-05-17T18:46:02Z,Bio amigo,Maíz,25.0,Micorrisas,80.0,No,Cada 10 días.,No,No,Cada 10 días,Muy en desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Algo en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,NA,80,25,Maíz,Bioamigo,Sin cambio o NA,10
2023-05-22T21:40:29Z,Micorrizas - Bioamigo,"Maíz, Sorgo/Maicillo","1,5 Manzanas",Hongos,85 quintales,Si,"2 veces, folidol",lo mismo,disminuyo un poco,al momento de la siembra polvo de roca y micorrizas en la semilla antes de sembrar,Muy en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,NA,85,1,Maíz,Bioamigo,Disminuyó,2
